OrderID,CustomerID,SupplierID,ShipperID,EmployeeID,ModeOfTransport,TransportStructure,ProductID,Price,Currency,NetTonnage,OrderDate,RequiredDATE,LoadingDate,ArrivalDate,LoadingAddress,LoadingCity,LoadingPostalCode,LoadingRegionID,LoadingCountryID,ShipAddress,ShipCity,ShipPostalCode,ShipRegionID,ShipCountryID
11,MIN,Plutzer,2,MARKOW,road,bulk,SANA,3900,PLN,24,2018-01-11,2018-01-19,2018-01-17,2018-01-19,Tiergartenstrae 5,Berlin,10785,BE,DE,Fleischnerova 507,Brno,625 00,B,CZ
12,LAN,Plutzer,4,PAWDOB,sea,iso-tank,REP2,56850,PLN,360,2018-01-15,2018-01-30,2018-01-24,2018-01-29,ul. Bytomska 7,Szczecin, 70-603 ,ZP,PL,Wesloer Landstrasse 8,Lübeck,23569,SH,DE
13,MIN,Plutzer,3,KATNOW,rail,tank,REP2,111600,PLN,1550,2018-01-17,2018-01-31,2018-01-29,2018-01-30,Tiergartenstrae 5,Berlin,10785,BE,DE,Herčíkova 259,Brno,625 00,B,CZ
14,BIO,Plutzer,3,KATNOW,rail,container,SANA,34000,PLN,800,2018-01-19,2018-02-05,2018-02-05,2018-02-06,Tiergartenstrae 5,Berlin,10785,BE,DE,Warszawska 34,Szczecin,71-344,ZP,PL
15,PES,Plutzer,5,PAWDOB,sea,bulk,SANA,334128,PLN,2750,2018-01-26,2018-02-09,2018-02-05,2018-02-09,ul. Bytomska 7,Szczecin, 70-603 ,ZP,PL,Hohe Düne 23,Rostock,18146,MV,DE
16,MIN,Palova,2,MARKOW,road,palette,REP2,6000,PLN,5,2018-02-01,2018-02-15,2018-02-12,2018-02-15,471 Serangon,Dětenice,507-23,H,CZ,Admirala Fokina 35,Wladivostok,690017,FarEast,RU
17,MIN,Palova,1,KATNOW,rail,iso-tank,REP2,90000,PLN,600,2018-02-05,2018-02-28,2018-02-26,2018-02-28,471 Serangon,Dětenice,507-23,H,CZ,P545 20,Fos-sur-Mer,13270,93,FR
18,LAN,Plutzer,5,PAWDOB,sea,tank,REP2,113455,PLN,1530,2018-02-05,2018-02-16,2018-02-12,2018-02-16,ul. Zamknięta 18,Gdańsk,80-955 ,PM,PL,Kattwykdamm 153,Hamburg,20359,HE,DE
19,BIO,Pruszcz,2,MARKOW,road,palette,BASO,1500,PLN,1,2018-02-07,2018-02-20,2018-02-16,2018-02-19,Bydgoska 12,Pruszcz,80-008,PM,PL,Rue Paradis 1,Marsylie,13007,93,FR
20,BIO,Palova,2,MARKOW,road,container,BASO,12000,PLN,24,2018-02-12,2018-03-02,2018-03-27,2018-03-02,471 Serangon,Dětenice,507-23,H,CZ,Rue Claude Decaen 156,Paris,75007,11,FR
21,BIO,Palova,6,MARKOW,road,palette,BASO,150,PLN,1,2018-02-14,2018-03-02,2018-03-30,2018-03-30,471 Serangon,Dětenice,507-23,H,CZ,Tadeusza Kościuszki 25,Częstochowa,42-224,SL,PL
22,LAN,Pruszcz,6,MARKOW,road,palette,STAB,18000,PLN,34,2018-02-16,2018-03-05,2018-03-01,2018-03-05,Bydgoska 12,Pruszcz,80-008,PM,PL,Rue Delbos 22,Bordeaux,33100,75,FR
23,LAN,Pruszcz,5,PAWDOB,sea,container,STAB,307122,PLN,3037,2018-02-20,2018-03-20,2018-03-16,2018-03-20,ul. Bytomska 7,Szczecin, 70-603 ,ZP,PL,Ulitsa Dmitriya Donskogo 24,Kaliningrad,238310,Northwest,RU
24,MIN,Pruszcz,2,MARKOW,road,tilt,STAB,13000,PLN,48,2018-02-26,2018-03-15,2018-03-12,2018-03-14,Bydgoska 12,Pruszcz,80-008,PM,PL,Lipschitzallee 199,Berlin,10409,BE,DE
25,PES,Plutzer,5,PAWDOB,sea,container,SANA,118446,PLN,2875,2018-02-27,2018-03-21,2018-03-16,2018-03-21,ul. Bytomska 7,Szczecin, 70-603 ,ZP,PL,Osterholzer Heerstraße 78,Bremen,28309,HB,DE
26,BIO,Palova,2,MARKOW,road,palette,REP2,900,PLN,2,2018-03-03,2018-03-13,2018-03-12,2018-03-13,471 Serangon,Dětenice,507-23,H,CZ,Poznańska 9,Otwock,05-402,MZ,PL 
27,BIO,Palova,6,MARKOW,road,iso-tank,REP2,2900,PLN,25,2018-03-05,2018-03-16,2018-03-15,2018-03-16,471 Serangon,Dětenice,507-23,H,CZ,Grunwaldzka 75,Łomża,18-400,PD,PL 
28,BIO,Palova,2,MARKOW,road,tank,REP2,2800,PLN,25,2018-03-09,2018-03-29,2018-03-27,2018-03-28,471 Serangon,Dětenice,507-23,H,CZ,Kowalska 5,Płock,09-401,MZ,PL
29,LAN,Palova,4,PAWDOB,sea,container,BASO,620943,PLN,5924,2018-03-13,2018-04-04,2018-03-30,2018-04-04,ul. Zamknięta 18,Gdańsk,80-955 ,PM,PL,Faidherbe 74,Dunkirk,59240,32,FR
30,LAN,Pruszcz,3,KATNOW,rail,container,STAB,84000,PLN,1200,2018-03-15,2018-03-29,2018-03-29,2018-03-29,Bydgoska 12,Pruszcz,80-008,PM,PL,Niepodległości 809,Gdynia,81-008,PM,PL
,,,,,,,,,,,,,,,,,,,,,,,,
